description;icao;iata;latitude_deg;longitude_deg
Jacareacanga Airport;SBEK;JCR;-6.233.160.018.920.890;-5.777.690.124.511.710
Espinosa Airport;SBEP;ESI;-149.336.944.444;-42.81
Cataratas International Airport;SBFI;IGU;-25.600.278.854.370.100;-5.448.500.061.035.150
Hercílio Luz International Airport;SBFL;FLN;-27.670.278.549.194.300;-485.525.016.784.668
Fernando de Noronha Airport;SBFN;FEN;-38.549.299.240.112.300;-32.423.301.696.777.300
Pinto Martins International Airport;SBFZ;FOR;-3.776.279.926.300.040;-3.853.260.040.283.200
Rio Galeão – Tom Jobim International Airport;SBGL;GIG;-228.099.994.659;-432.505.569.458
Guajará-Mirim Airport;SBGM;GJM;-10.786.399.841.308.500;-6.528.479.766.845.700
Santa Genoveva Airport;SBGO;GYN;-16.631.999.969.482.400;-49.220.699.310.302.700
Guarulhos - Governador André Franco Montoro International Airport;SBGR;GRU;-23.435.556.411.743.100;-4.647.305.679.321.280
Tancredo Thomas de Faria Airport;SBGU;GPB;-253.875.007.629;-51.520.198.822
Coronel Altino Machado de Oliveira Airport;SBGV;GVR;-1.889.520.072.937;-41.982.200.622.559
Guaratinguetá Airport;SBGW;GUJ;-2.279.159.927.368.160;-4.520.479.965.209.960
Altamira Airport;SBHT;ATM;-32.539.100.646.973;-52.254.001.617.432
Itacoatiara Airport;SBIC;ITA;-31.272.599.697.113.000;-58.481.201.171.875
Itaituba Airport;SBIH;ITB;-42.423.400.878.906;-56.000.701.904.297
Bahia - Jorge Amado Airport;SBIL;IOS;-14.815.999.984.741;-39.033.199.310.303
Usiminas Airport;SBIP;IPN;-19.470.699.310.303;-42.487.598.419.189
Francisco Vilela do Amaral Airport;SBIT;ITR;-184.447.002.411;-492.134.017.944
Prefeito Renato Moreira Airport;SBIZ;IMP;-5.531.290.054.321.280;-47.459.999.084.472.600
Humberto Ghizzo Bortoluzzi Regional Airport;SBJA;JJG;-286.753;-490.596
Francisco de Assis Airport;SBJF;JDF;-21.791.500.091.552.700;-4.338.679.885.864.250
Presidente Castro Pinto International Airport;SBJP;JPA;-7.145.833.015.440.000;-349.486.122.131
Orlando Bezerra de Menezes Airport;SBJU;JDO;-721.895.980.835;-39.270.099.639.899.900
Lauro Carneiro de Loyola Airport;SBJV;JOI;-2.622.450.065.612.790;-48.797.401.428.222.600
Presidente João Suassuna Airport;SBKG;CPV;-72.699.198.722.839.300;-35.896.400.451.660.100
Viracopos International Airport;SBKP;VCP;-230.074.005.127;-471.344.985.962
Coronel Horácio de Mattos Airport;SBLE;LEC;-124.822.998.047;-412.770.004.272
Lages Airport;SBLJ;LAJ;-27.782.100.677.499.900;-5.028.150.177
Lins Airport;SBLN;LIP;-21.663.999.557.495;-49.730.499.267.578
Governador José Richa Airport;SBLO;LDB;-23.333.599.090.599.900;-511.301.002.502
Bom Jesus da Lapa Airport;SBLP;LAZ;-132.621.002.197;-434.081.001.282
João Correa da Rocha Airport;SBMA;MAB;-536.858.987.808;-49.138.000.488.299.900
Minaçu Airport;SBMC;MQH;-135.491;-48.195.301
Monte Dourado Airport;SBMD;MEU;-0.889838993549;-526.021.995.544
Macaé Airport;SBME;MEA;-22.343.000.412;-417.659.988.403
Regional de Maringá - Sílvio Nane Junior Airport;SBMG;MGF;-23.479.444.503.799.900;-5.201.222.229
Mário Ribeiro Airport;SBMK;MOC;-16.706.899.642.899.900;-43.818.901.062
Frank Miloye Milenkowichi–Marília State Airport;SBML;MII;-221.968.994.141;-49.926.399.231
Ponta Pelada Airport;SBMN;PLL;-31.460.399.627.685.500;-5.998.630.142.211.910
Zumbi dos Palmares Airport;SBMO;MCZ;-9.510.809.898.376.460;-3.579.169.845.581.050
Alberto Alcolumbre Airport;SBMQ;MCP;0.0506640002131;-510.722.007.751
Dix-Sept Rosado Airport;SBMS;MVF;-52.019.200.324.999.900;-373.642.997.742
Manicoré Airport;SBMY;MNX;-58.113.799.095.154;-61.278.301.239.014
Ministro Victor Konder International Airport;SBNF;NVT;-268.799.991.607.666;-4.865.140.151.977.530
Santo Ângelo Airport;SBNM;GEL;-28.281.700.134.277.300;-5.416.910.171.508.780
Oiapoque Airport;SBOI;OYK;385.548.996.925.354;-5.179.690.170.288.080
Salgado Filho Airport;SBPA;POA;-29.994.400.024.414.000;-511.713.981.628.418
Prefeito Doutor João Silva Filho Airport;SBPB;PHB;-289.374.995.232;-4.173.199.844.359.990
Poços de Caldas - Embaixador Walther Moreira Salles Airport;SBPC;POO;-21.843.000.411.987;-46.567.901.611.328
Lauro Kurtz Airport;SBPF;PFB;-28.243.999.481.201.100;-5.232.659.912.109.370
Brigadeiro Lysias Rodrigues Airport;SBPJ;PMW;-10.291.500.091.600.000;-4.835.699.844.359.990
João Simões Lopes Neto International Airport;SBPK;PET;-31.718.399.047.852;-52.327.701.568.604
Senador Nilo Coelho Airport;SBPL;PNZ;-9.362.409.591.674.800;-4.056.909.942.626.950
Porto Nacional Airport;SBPN;PNB;-10.719.400.405.883.700;-4.839.970.016.479.490
Ponta Porã Airport;SBPP;PMG;-2.254.960.060.119.620;-55.702.598.571.777.300
Porto Seguro Airport;SBPS;BPS;-16.438.600.540.161.100;-3.908.089.828.491.210
Governador Jorge Teixeira de Oliveira Airport;SBPV;PVH;-870.928.955.078.125;-6.390.230.178.833.000
Vitória da Conquista Airport;SBQV;VDC;-148.627.996.445;-408.630.981.445
Plácido de Castro Airport;SBRB;RBR;-9.868.888.854.980.460;-6.789.805.603.027.340
Guararapes - Gilberto Freyre International Airport;SBRF;REC;-8.126.489.639.282.220;-3.492.359.924.316.400
Santos Dumont Airport;SBRJ;SDU;-22.910.499.572.799.900;-431.631.011.963
Leite Lopes Airport;SBRP;RAO;-21.136.388.778.686.500;-47.776.668.548.583.900
Barreirinhas Airport;SBRR;BRB;-2.756.628;-42.805.666
Santa Cruz Airport;SBSC;SNZ;-2.293.239.974.975.580;-4.371.910.095.214.840
Governador Aluízio Alves International Airport;SBSG;NAT;-5.768.056;-35.376.111
Professor Urbano Ernesto Stumpf Airport;SBSJ;SJK;-2.322.920.036.315.910;-4.586.149.978.637.690
Marechal Cunha Machado International Airport;SBSL;SLZ;-2.585.360.050.201.410;-44.234.100.341.796.800
Santa Maria Airport;SBSM;RIA;-2.971.139.907.836.910;-53.688.201.904.296.800
Maestro Wilson Fonseca Airport;SBSN;STM;-24.247.219.562.530.500;-54.785.831.451.416.000
Adolino Bedin Regional Airport;SBSO;SMT;-12.479.177;-55.672.341
Congonhas Airport;SBSP;CGH;-23.626.110.076.904.200;-4.665.638.732.910.150
Prof. Eribelto Manoel Reino State Airport;SBSR;SJP;-20.816.600.799.599.900;-4.940.650.177
Base Aérea de Santos Airport;SBST;SSZ;-23.928.056.716.918.900;-46.299.720.764.160.100
Deputado Luiz Eduardo Magalhães International Airport;SBSV;SSA;-129.086.112.976;-383.224.983.215
Tri-City Airport;SBT;SBT;340.677;-1.172.725
Base de Aviação de Taubaté Airport;SBTA;QHP;-2.304.010.009.765.620;-4.551.599.884.033.200
Trombetas Airport;SBTB;TMT;-1.489.599.943.161;-56.396.800.994.873
Hotel Transamérica Airport;SBTC;UNA;-15.355.199.813.799.900;-389.990.005.493
Toledo Airport;SBTD;TOW;-2.468.630.027.770.990;-536.974.983.215.332
Senador Petrônio Portela Airport;SBTE;THE;-50.599.398.613;-428.235.015.869
Tefé Airport;SBTF;TFF;-338.294.005.394;-647.240.982.056
Tarauacá Airport;SBTK;TRQ;-81.552.600.860.596;-70.783.302.307.129
Telêmaco Borba Airport;SBTL;TEC;-24.317.800.521.850.500;-506.515.998.840.332
Torres Airport;SBTR;TSQ;-2.941.489.982.605;-49.810.001.373.291
Tiriós Airport;SBTS;OBI;22.234.699.726.104.700;-5.594.609.832.763.670
Tabatinga Airport;SBTT;TBT;-42.556.700.706.482;-6.993.579.864.502
Tucuruí Airport;SBTU;TUR;-37.860.100.269.318;-4.972.029.876.709
São Gabriel da Cachoeira Airport;SBUA;SJL;-0.14835;-669.855
Paulo Afonso Airport;SBUF;PAV;-94.008.798.599.243;-38.250.598.907.471
Rubem Berta Airport;SBUG;URG;-297.821.998.596;-570.382.003.784
Ten. Cel. Aviador César Bombonato Airport;SBUL;UDI;-1.888.361.167.907.710;-48.225.276.947.021.400
Mário de Almeida Franco Airport;SBUR;UBA;-19.764.722.824.097;-47.966.110.229.492
Major Brigadeiro Trompowsky Airport;SBVG;VAG;-215.900.993.347;-454.733.009.338
Brigadeiro Camarão Airport;SBVH;BVH;-12.694.399.833.679;-60.098.300.933.838
Eurico de Aguiar Salles Airport;SBVT;VIX;-20.258.056.640.625;-402.863.883.972.168
Campo Fontenelle Airport;SBYS;QPS;-21.984.600.067.138.600;-47.334.800.720.214.800
Presidente Itamar Franco Airport;SBZM;IZA;-21.513.086;-43.173.069
[Duplicate] Praslin Island Airport;SC-0001;PRI;-4.32;55.69
[Duplicate] Praslin Island Airport;SC-0002;PRI;-4.320.172;55.692.365
Pupelde Airport;SCAC;ZUD;-41.904.251;-73.796.571
San Rafael Airport;SCAN;LOB;-3.281.420.135.498.040;-7.064.669.799.804.680
Alto Palena Airport;SCAP;WAP;-436.119.003.296;-71.806.098.938
Chacalluta Airport;SCAR;ARI;-18.348.499.298.095.700;-7.033.869.934.082.030
Cabo 1° Juan Román Airport;SCAS;WPA;-45.399.200.439.453.100;-7.267.030.334.472.650
Desierto de Atacama Airport;SCAT;CPO;-272.611.999.512;-707.791.976.929
Balmaceda Airport;SCBA;BBA;-45.916.099.548.339.800;-7.168.949.890.136.710
Barriles Airport;SCBE;TOQ;-2.214.109.992.980.950;-7.006.289.672.851.560
Chile Chico Airport;SCCC;CCH;-4.658.330.154.418.940;-716.874.008.178.711
El Loa Airport;SCCF;CJC;-22.498.199.462.890.600;-6.890.360.260.009.760
Gral. Bernardo O´Higgins Airport;SCCH;YAI;-3.658.250.045.776.360;-7.203.140.258.789.060
Pdte. carlos Ibañez del Campo Airport;SCCI;PUQ;-53.002.601.623.535.100;-7.085.459.899.902.340
Tambillos Airport;SCCQ;COW;-30.198.889;-71.246.944
Teniente Vidal Airport;SCCY;GXQ;-45.594.200.134.277.300;-721.061.019.897.461
Diego Aracena Airport;SCDA;IQQ;-20.535.200.119.018.500;-701.812.973.022.461
Comodoro Arturo Merino Benítez International Airport;SCEL;SCL;-33.393.001.556.396.400;-7.078.579.711.914.060
Ricardo García Posada Airport;SCES;ESR;-26.311.100.006.103.500;-6.976.519.775.390.620
El Avellano Airport;SCEV;FRT;-41.117.000.579.833.900;-7.305.000.305.175.780
Cerro Moreno Airport;SCFA;ANF;-23.444.499.969.482.400;-7.044.509.887.695.310
Capitan Fuentes Martinez Airport Airport;SCFM;WPR;-53.253.700.256.347.600;-7.031.919.860.839.840
Futaleufú Airport;SCFT;FFU;-4.318.920.135.498.040;-718.510.971.069.336
María Dolores Airport;SCGE;LSQ;-3.740.169.906.616.210;-7.242.539.978.027.340
Guardiamarina Zañartu Airport;SCGZ;WPU;-5.493.109.893.798.820;-6.762.629.699.707.030
Cochrane Airport;SCHR;LGR;-4.724.380.111.694.330;-725.884.017.944.336
Carriel Sur Airport;SCIE;CCP;-36.772.701.263.427.700;-7.306.310.272.216.790
Mataveri Airport;SCIP;IPC;-271.648.006.439;-10.942.199.707
Cañal Bajo Carlos - Hott Siebert Airport;SCJO;ZOS;-4.061.119.842.529.290;-7.306.099.700.927.730
Vallenar Airport;SCLL;VLR;-28.596.399.307.250.900;-7.075.599.670.410.150
Municipal de Linares Airport;SCLN;ZLR;-35.861.698.150.634.700;-7.154.859.924.316.400
Tte. Julio Gallardo Airport;SCNT;PNT;-5.167.150.115.966.790;-7.252.839.660.644.530
El Tuqui Airport;SCOV;OVL;-30.559.200.286.865.200;-7.117.559.814.453.120
Pucón Airport;SCPC;ZPC;-3.929.280.090.332.030;-7.191.590.118.408.200
Mocopulli Airport;SCPQ;MHC;-42.340.388;-73.715.693
El Mirador Airport;SCPV;PUX;-4.134.939.956.665.030;-7.294.670.104.980.460
La Araucanía Airport;SCQP;ZCO;-389.259;-726.515
Scranton Municipal Airport.;SCR;SCR;414.802;-75.772
Chañaral Airport;SCRA;CNR;-26.332.500.457.763.600;-706.072.998.046.875
Rodelillo Airport;SCRD;VAP;-3.306.809.997.558.590;-7.155.750.274.658.200
De La Independencia Airport;SCRG;QRC;-3.417.369.842.529.290;-7.077.570.343.017.570
Teniente Rodolfo Marsh Martin Base;SCRM;TNM;-621.907.997.131;-589.866.981.506
Franco Bianco Airport;SCSB;SMB;-52.736.698.150.634.700;-6.933.360.290.527.340
La Florida Airport;SCSE;LSC;-29.916.200.637.799.900;-711.995.010.376
Víctor Lafón Airport;SCSF;SSD;-3.274.580.001.831.050;-7.070.500.183.105.460
Gamboa Airport;SCST;WCA;-42.490.299.224.853.500;-7.377.279.663.085.930
Maquehue Airport;SCTC;PZS;-38.766.799.926.758;-72.637.100.219.727
El Tepual Airport;SCTE;PMC;-41.438.899.993.896.400;-7.309.400.177.001.950
Los Cerrillos Airport;SCTI;ULC;-33.493.598.938;-706.977.996.826
Panguilemo Airport;SCTL;TLX;-3.537.779.998.779.290;-7.160.169.982.910.150
Chaitén Airport;SCTN;WCH;-4.293.280.029.296.870;-726.990.966.796.875
Victoria Airport;SCTO;ZIC;-38.245.601.654.052.700;-7.234.860.229.492.180
Las Breas Airport;SCTT;TTC;-25.564.300.537.109.300;-7.037.590.026.855.460
Pichoy Airport;SCVD;ZAL;-396.500.015.259;-730.860.977.173
Viña del mar Airport;SCVM;KNA;-329.496;-714.786
Amarais Airport;SDAM;CPQ;-2.285.919.952.392.570;-4.710.820.007.324.210
Botucatu - Tancredo de Almeida Neves Airport;SDBK;QCJ;-22.939.501;-48.467.999
Senadora Eunice Micheles Airport;SDCG;OLC;-346.792.950.765;-689.204.120.636
Sorocaba Airport;SDCO;SOD;-2.347.800.064.086.910;-474.900.016.784.668
Dracena Airport;SDDR;QDC;-21.460.500.717.163.000;-5.160.689.926.147.460
Saidor Airport;SDI;SDI;-562.713.888.889;146.462.777.778
Jales Airport;SDJL;JLS;-20.292.999.267.578.100;-505.463.981.628.418
Mococa Airport;SDKK;QOA;-2.148.780.059.814.450;-47.034.400.939.941.400
Lençóis Paulista Airport;SDLP;QGC;-22.578.399.658.203.100;-48.774.600.982.666.000
Aeroclube Airport;SDNY;QNV;-2.274.530.029.296.870;-4.346.030.044.555.660
Ourinhos Airport;SDOU;OUS;-2.296.649.932.861.320;-49.913.299.560.546.800
Ourilândia do Norte Airport;SDOW;OIA;-6.763.100.147.250.000;-510.499.000.549
Piracicaba Airport;SDPW;QHB;-2.271.150.016.784.660;-4.761.819.839.477.530
Rio Claro Airport;SDRK;QIQ;-22.430.104;-47.562.113
Resende Airport;SDRS;REZ;-224.785.003.662;-444.803.009.033
São Carlos Airport;SDSC;QSC;-2.187.540.054.321.280;-4.790.370.178.222.650
Ubatuba Airport;SDUB;UBT;-23.441.099.166.870.100;-45.075.599.670.410.100
Itaperuna Airport;SDUN;ITP;-21.219.299.316.399.900;-418.759.002.686
Alagoinhas Airport;SDUO;QGS;-12.175.100.326.538.000;-3.838.019.943.237.300
Votuporanga Airport;SDVG;VOT;-20.463.199.615.478.500;-5.000.450.134.277.340
Limeira Airport;SDYM;QGB;-22.603.889;-47.411.944
Zona da Mata Regional Airport;SDZY;IZA;-215.130.558.014;-431.730.575.562
Chachoán Airport;SEAM;ATF;-12.120.699.882.507.300;-7.857.460.021.972.650
Francisco De Orellana Airport;SECO;OCC;-0.4628860056400299;-7.698.680.114.746.090
Mariscal Lamar Airport;SECU;CUE;-2.889.470.100.402.830;-789.843.978.881.836
Seymour Airport;SEGS;GPS;-0.45375800132751465;-9.026.589.965.820.310
José Joaquín de Olmedo International Airport;SEGU;GYE;-21.574.199.199.699.900;-7.988.359.832.760.000
General Villamil Airport;SEII;IBB;-0.942628026009;-909.530.029.297
Jipijapa Airport;SEJI;JIP;-1;-8.066.666.412.353.510
Cotopaxi International Airport;SELT;LTX;-0.9068329930310001;-786.157.989.502
Jose Maria Velasco Ibarra Airport;SEMA;MRR;-437.823.009.491;-7.994.100.189.210.000
Coronel E Carvajal Airport;SEMC;XMS;-22.991.700.172.424.300;-7.812.079.620.361.320
General Manuel Serrano Airport;SEMH;MCH;-32.689;-79.961.601
Eloy Alfaro International Airport;SEMT;MEC;-0.9460780024528503;-8.067.880.249.023.430
Nueva Loja Airport;SENL;LGQ;0.0930560007691;-7.686.750.030.520.000
Putumayo Airport;SEPT;PYO;0.08333300054073334;-759.000.015.258.789
Reales Tamarindos Airport;SEPV;PVO;-10.416.500.568.389.800;-8.047.219.848.632.810
Mariscal Sucre International Airport;SEQM;UIO;-0.129166666667;-783.575
Santa Rosa International Airport;SERO;ETR;-3.441.986;-79.996.957
General Ulpiano Paez Airport;SESA;SNC;-220.499;-80.988.899
Sucua Airport;SESC;SUQ;-24.830.000.400.543.200;-7.816.699.981.689.450
Rio Amazonas Airport;SESM;PTZ;-15.052.399.635.299.900;-780.626.983.643
San Cristóbal Airport;SEST;SCY;-0.9102060198783875;-8.961.740.112.304.680
Los Perales Airport;SESV;BHA;-0.6081110239028931;-8.040.270.233.154.290
Taisha Airport;SETH;TSC;-23.816.699.981.689.400;-7.750.279.998.779.290
Tiputini Airport;SETI;TPN;-0.7761110067367554;-7.552.639.770.507.810
Camilo Ponce Enriquez Airport;SETM;LOH;-3.995.889.902.114.860;-7.937.190.246.582.030
General Rivadeneira Airport;SETN;ESM;0.9785190224647522;-7.962.660.217.285.150
Tarapoa Airport;SETR;TPC;-0.12295600026845932;-7.633.779.907.226.560
Teniente Coronel Luis a Mantilla Airport;SETU;TUA;0.8095059990882874;-7.770.809.936.523.430
Port Stanley Airport;SFAL;PSY;-51.685.699.462.891;-57.777.599.334.717
San Fernando Airport;SFR;SFR;34.289;-118.422
Safia Airport;SFU;SFU;-959.305.555.556;148.636.111.111
Silvio Pettirossi International Airport;SGAS;ASU;-25.239.999.771.118.100;-5.752.000.045.776.360
Juan De Ayolas Airport;SGAY;AYO;-27.370.554;-56.854.064
Teniente Col Carmelo Peralta Airport;SGCO;CIO;-23.442.363;-57.427.253
Encarnación Airport;SGEN;ENO;-27.227.366;-55.837.495
Guarani International Airport;SGES;AGT;-25.454.516;-54.842.682
Filadelfia Airport;SGFI;FLM;-22.360.477;-60.053.604
Dr. Luis Maria Argaña International Airport;SGME;ESG;-22.049.999.237.060.500;-60.619.998.931.884.700
Carlos Miguel Gimenez Airport;SGPI;PIL;-26.881.224;-58.318.026
Dr Augusto Roberto Fuster International Airport;SGPJ;PJC;-22.639.999.389.648.400;-5.583.000.183.105.460
San José Island Airport;SIC;SIC;82.622;-79.078
Municipal Bom Futuro Airport;SILC;LVR;-130.378.611.111;-5.595.025
Franca Airport;SIMK;FRC;-20.592.199.325.561.500;-4.738.290.023.803.710
Sissano Airport;SIZ;SIZ;-299.944.444.444;1.420.445
Inácio Luís do Nascimento Airport;SIZX;JUA;-112.966;-575.495
Cruz Bay Seaplane Base;SJF;SJF;183.315;-64.796
Confresa Airport;SJHG;CFO;-10.634.400.367.736.800;-515.635.986.328.125
Rio Grande Airport;SJRG;RIG;-32.081.699;-52.163.299
Bauru - Arealva Airport;SJTC;JTC;-22.166.859.140.899.900;-490.502.866.745
Aragarças Airport;SJVO;ARS;-15.899.399.757.399.900;-52.241.100.311.299.900
Arica Airport;SK-001;ACM;-214.543.733.597;-717.580.604.553
El Encanto Airport;SK-002;ECO;-17.533.333.333.299.900;-7.320.472.222.219.990
Arboletes Airport;SK-005;ARO;885.705;-764.244
Jurado Airport;SK-008;JUO;6.516.667;-76.6
San Juan De Uraba Airport;SK-020;SJR;8.766.667;-76.533.333
San Pedro Airport;SK-021;NPU;828.597;-76.380.386
Puerto Rico Airport;SK-045;PCC;1.916.667;-75.166.667
Solano Airport;SK-046;SQF;0.702022;-752.505
Yari Airport;SK-047;AYI;-0.383333;-72.266.667
Aguaclara Airport;SK-048;ACL;4.753.611;-73.002.778
Currillo Airport;SK-059;CUI;4.666.667;-72
Paratebueno Airport;SK-115;EUO;4.383.333;-73.2
Pore Airport;SK-116;PRE;5.733.333;-71.983.333
San Luis De Palenque Airport;SK-120;SQE;5.400.181;-717.001
Tauramena Airport;SK-131;TAU;501.281;-727.424
Ayacucho Airport;SK-144;AYC;8.6;-73.616.667
Codazzi Airport;SK-154;DZI;9.6;-73.45
Las Flores Airport;SK-174;DZI;10.096.608;-732.337
San Juan Del César Airport;SK-183;SJH;10.766.667;-73.016.667
Bahia Cupica Airport;SK-189;BHF;6.55;-773.263
Gilgal Airport;SK-193;GGL;8.333.333;-77.083.333
Unguia Airport;SK-197;UNC;8.033.333;-77.083.333
Ayapel Airport;SK-198;AYA;8.3;-75.15
Barranco Minas Airport;SK-209;NBB;3.483.333;-69.8
Medina Airport;SK-217;MND;4.516.667;-73.283.333
Macanal Airport;SK-223;NAD;2.566.667;-67.583.333
Guacamayas Airport;SK-236;GCA;2.283.333;-74.95
Santana Ramos Airport;SK-245;SRO;2.216.667;-75.25
Barranca De Upia Airport;SK-272;BAC;4.583.333;-72.966.667
Caquetania Airport;SK-277;CQT;2.033.333;-74.216.667
El Recreo Airport;SK-284;ELJ;2;-74.133.333
El Refugio/La Macarena Airport;SK-307;LMC;21.736;-737.862
Solita Airport;SK-348;SOH;3.016.667;-71.75
Uribe Airport;SK-354;URI;3.216.667;-74.4
El Charco Airport;SK-360;ECR;244.944.444.444;-780.941.666.667
Santa Bárbara Airport;SK-367;ISD;2.445.825;-77.981.753
Zapatoca Airport;SK-392;AZT;6.816.667;-73.283.333
Herrera Airport;SK-422;HRR;3.216.667;-75.85
Santa Ana Airport;SK-442;SQB;4.408.333;-75.021.667
La Primavera Airport;SK-462;LPE;3.733.333;-76.216.667
Acaricuara Airport;SK-471;ARF;0.533333;-70.133.333
Monfort Airport;SK-481;MFB;0.633333;-69.75
Morichal Airport;SK-482;MHF;1.75;-69.916.667
Casuarito Airport;SK-511;CSR;5.833.333;-68.133.333
La Primavera Airport;SK-521;LPE;54.776;-704.212
Araracuara Airport;SKAC;ACR;-0.5833;-724.083
Alcides Fernández Airport;SKAD;ACD;851.667;-77.3
Amalfi Airport;SKAM;AFI;691.667;-750.667
Andes Airport;SKAN;ADN;566.667;-758.833
Gomez Nino Apiay Air Base;SKAP;API;407.607;-735.627
El Eden Airport;SKAR;AXM;445.278;-757.664
Tres De Mayo Airport;SKAS;PUU;0.505228;-765.008
Las Flores Airport;SKBC;ELB;904.554;-739.749
Palonegro Airport;SKBG;BGA;71.265;-731.848
El Dorado International Airport;SKBO;BOG;470.159;-741.469
Ernesto Cortissoz International Airport;SKBQ;BAQ;108.896;-747.808
José Celestino Mutis Airport;SKBS;BSC;620.292;-773.947
Gerardo Tobar López Airport;SKBU;BUN;381.963;-769.898
Capurganá Airport;SKCA;CPB;863.333;-77.35
Camilo Daza International Airport;SKCC;CUC;792.757;-725.115
Mandinga Airport;SKCD;COG;508.333;-76.7
Rafael Nuñez International Airport;SKCG;CTG;104.424;-75.513
Carimagua Airport;SKCI;CCO;456.417;-713.364
Alfonso Bonilla Aragon International Airport;SKCL;CLO;354.322;-763.816
Cimitarra Airport;SKCM;CIM;6.367;-73.967
Cravo Norte Airport;SKCN;RAV;631.684;-702.107
La Florida Airport;SKCO;TCO;181.442;-787.492
Carurú Airport;SKCR;CUO;10.136;-712.961
Juan H White Airport;SKCU;CAQ;796.847;-751.985
Coveñas Airport;SKCV;CVE;940.092;-756.913
Las Brujas Airport;SKCZ;CZU;933.274;-752.856
El Bagre Airport;SKEB;EBG;759.647;-748.089
Yariguíes Airport;SKEJ;EJA;702.433;-738.068
Gustavo Artunduaga Paredes Airport;SKFL;FLA;158.919;-755.644
Fundación Airport;SKFU;FDA;105.333;-74.2
La Gaviota Airport;SKGA;LGT;4.549.722;-70.925
Santiago Vila Airport;SKGI;GIR;427.624;-747.967
Santa Ana Airport;SKGO;CRC;475.818;-759.557
Juan Casiano Airport;SKGP;GPI;257.013;-778.986
Chaparral Airport;SKHA;CPL;3.717;-75.467
Hato Corozal Airport;SKHC;HTZ;6.15;-71.75
Perales Airport;SKIB;IBE;442.161;-751.333
Chigorodó Airport;SKIG;IGO;768.038;-766.865
San Luis Airport;SKIP;IPI;0.861925;-776.718
Sitkinak Airport;SKJ;SKJ;565.378;-1.541.412
Antonio Roldan Betancourt Airport;SKLC;APO;781.196;-767.164
Caucaya Airport;SKLG;LQM;-0.182278;-747.708
Jorge Isaac Airport;SKLM;MCJ;112.325;-724.901
La Pedrera Airport;SKLP;LPD;-132.861;-695.797
Alfredo Vásquez Cobo International Airport;SKLT;LET;-419.355;-699.432
Enrique Olaya Herrera Airport;SKMD;EOH;6.220.549;-75.590.582
Miraflores Airport;SKMF;MFS;1.35;-719.444
Baracoa Airport;SKMG;MGN;928.474;-748.461
Montelibano Airport;SKML;MTB;797.174;-754.325
Los Garzones Airport;SKMR;MTR;882.374;-758.258
Fabio Alberto Leon Bentley Airport;SKMU;MVP;125.366;-702.339
La Nubia Airport;SKMZ;MZL;50.296;-754.647
Necocli Airport;SKNC;NCI;8.45;-767.833
Reyes Murillo Airport;SKNQ;NQU;56.964;-772.806
Benito Salas Airport;SKNV;NVA;295.015;-75.294
Aguas Claras Airport;SKOC;OCV;831.506;-733.583
Orocue Airport;SKOE;ORC;479.222;-713.564
Otu Airport;SKOT;OTU;701.037;-747.155
German Olano Airport;SKPC;PCR;618.472;-674.932
Obando Airport;SKPD;PDA;385.353;-679.062
Matecaña International Airport;SKPE;PEI;481.267;-757.395
Pitalito Airport;SKPI;PTX;185.777;-760.857
Plato Airport;SKPL;PLT;9.8;-747.833
Puerto Nare Airport;SKPN;NAR;621.002;-745.906
Guillermo León Valencia Airport;SKPP;PPN;24.544;-766.093
German Olano Air Base;SKPQ;PAL;548.361;-746.574
Puerto Berrio Airport;SKPR;PBE;646.034;-744.105
Antonio Narino Airport;SKPS;PSO;139.625;-772.915
El Embrujo Airport;SKPV;PVA;133.569;-813.583
Paz De Ariporo Airport;SKPZ;PZA;587.615;-718.866
Mariquita Airport;SKQU;MQU;521.256;-748.836
Jose Maria Córdova International Airport;SKRG;MDE;616.454;-754.231
Almirante Padilla Airport;SKRH;RCH;115.262;-72.926
Los Colonizadores Airport;SKSA;RVE;6.951.868;-71.857.179
Jorge E. Gonzalez Torres Airport;SKSJ;SJE;257.969;-726.394
Santa Rosalia Airport;SKSL;SSL;51.309;-708.682
Simón Bolívar International Airport;SKSM;SMR;111.196;-742.306
Alberto Lleras Camargo Airport;SKSO;SOX;567.732;-729.703
Gustavo Rojas Pinilla International Airport;SKSP;ADZ;125.836;-817.112
San Marcos Airport;SKSR;SRS;8.69;-75.156
Eduardo Falla Solano Airport;SKSV;SVI;215.217;-747.663
Tibú Airport;SKTB;TIB;863.152;-727.304
Trinidad Airport;SKTD;TDA;543.278;-716.625
Golfo de Morrosquillo Airport;SKTL;TLU;950.945;-755.854
Gustavo Vargas Airport;SKTM;TME;645.108;-717.603
Tres Esquinas Air Base;SKTQ;TQS;0.7459;-75.234
Gonzalo Mejía Airport;SKTU;TRB;807.453;-767.415
Santiago Perez Airport;SKUC;AUC;706.888;-707.369
El Caraño Airport;SKUI;UIB;569.076;-766.412
Heriberto Gíl Martínez Airport;SKUL;ULQ;408.836;-762.351
Urrao Airport;SKUR;URR;632.883;-761.425
Villa Garzón Airport;SKVG;VGZ;0.978767;-766.056
Velásquez Airport;SKVL;PYA;593.904;-74.457
Alfonso López Pumarejo Airport;SKVP;VUP;10.435;-732.495
Vanguardia Airport;SKVV;VVC;416.787;-736.138
Yaguara Airport;SKYA;AYG;154.417;-739.333
